customerId,recommendedProducts
171,2|12|46|18|11|16|39|0|15|1
1380,11|29|23|107|52|85|71|162|219|65
6032,22|24|71|98|57|77|4|101|140|231
10921,2|47|19|14|5|21|195|61|106|17
1267,2|13|44|71|65|5|8|33|84|14
305,15|16|55|81|33|8|5|44|72|159
7368,21|49|1|61|14|30|8|9|44|12
13874,1|21|2|14|61|0|19|30|47|100
6030,67|62|175|70|34|116|138|25|46|37
18003,20|25|5|16|12|40|55|1|0|92
7175,6|26|9|57|37|24|113|42|133|258
2654,2|1|143|97|91|37|124|15|94|14
1342,7|1|4|13|77|24|9|42|57|2
2670,2|15|20|14|6|17|1|64|102|25
10209,2|5|33|1|59|17|19|69|14|76
13039,1|0|2|21|30|14|95|56|100|5
14857,1|4|0|226|103|31|52|59|69|171
3045,71|57|84|13|65|196|117|6|208|158
4757,14|49|9|149|63|8|21|102|2|180
6560,0|1|59|5|69|60|31|12|53|33
16285,0|12|18|115|66|1|22|126|160|207
14986,1|89|4|7|3|22|30|0|2|232
27925,41|68|20|76|269|2|5|17|135|25
2724,5|2|19|1|33|17|14|21|44|35
11122,71|235|121|22|3|70|158|208|65|231
2833,15|37|34|109|2|124|225|145|168|94
4118,24|9|42|50|63|8|49|101|133|57
16990,13|16|72|25|40|26|4|6|81|55
1583,1|31|7|9|42|77|50|158|45|65
10269,1|6|8|22|24|4|38|7|49|48
12788,2|1|14|15|137|21|113|141|78|153
17248,37|2|15|46|134|110|71|124|34|109
7065,2|110|14|71|1|15|113|179|243|8
15008,9|1|0|30|22|12|24|21|147|50
2043,13|4|88|19|6|2|5|14|35|96
16616,1|9|30|50|45|7|21|93|95|56
3891,19|5|52|33|47|223|59|2|69|106
22882,2|1|15|14|37|109|110|91|124|113
9852,65|64|71|158|7|77|4|209|278|161
6977,1|7|26|6|54|15|2|10|32|87
12867,2|1|5|20|41|54|7|15|76|33
24556,12|40|66|18|73|80|25|144|28|184
13962,49|8|102|36|38|51|48|35|44|190
6795,1|2|17|31|7|59|5|65|33|64
10884,2|15|14|8|149|37|136|49|109|153
123,2|1|15|31|59|33|94|18|17|134
7855,80|145|123|25|122|92|16|34|212|55
15713,4|7|71|31|13|52|22|77|65|84
5461,1|5|2|52|19|69|17|60|33|21
27386,11|23|29|92|107|203|105|228|108|51
450,6|4|26|10|98|7|75|0|277|54
15042,13|43|26|129|54|10|72|87|128|108
24405,9|92|11|29|63|23|42|45|234|107
3716,40|16|12|81|44|18|35|55|66|25
15175,1|5|2|60|33|31|7|59|0|69
5065,24|4|13|1|5|63|9|50|52|56
863,11|39|23|86|29|30|12|146|51|53
15810,6|4|1|26|10|7|2|54|87|75
2403,3|2|59|17|70|62|230|31|1|67
24610,5|2|33|1|17|59|69|76|13|72
14136,78|137|136|2|105|97|91|14|124|141
21129,46|80|11|123|23|71|29|105|134|57
11096,143|91|97|105|78|124|136|37|14|228
24650,37|113|137|78|124|233|136|91|105|15
14162,1|2|0|21|14|7|30|5|15|141
13487,1|2|17|5|21|7|59|76|33|31
27325,16|40|81|55|159|53|18|72|0|35
7412,85|235|31|3|71|185|187|59|230|117
19093,1|0|21|30|61|2|19|14|12|126
9552,16|18|55|81|40|159|53|80|28|145
8738,2|1|19|5|21|33|14|17|59|47
19417,25|82|34|173|18|16|211|191|160|40
3230,2|71|117|65|31|1|59|17|161|33
4851,20|9|45|17|102|63|76|2|1|186
8907,2|17|91|46|3|97|143|33|136|78
3431,70|62|67|3|116|138|188|25|20|46
6655,17|41|5|76|2|20|45|68|33|9
3018,15|0|34|18|145|109|12|191|211|1
23695,19|106|103|223|96|263|126|85|47|61
25377,67|70|62|116|3|138|188|25|20|163
14110,14|8|61|19|2|36|106|48|115|49
6997,1|7|4|2|17|13|5|77|31|52
8423,1|2|5|17|7|33|76|157|45|64
182,2|3|1|44|62|70|49|64|31|67
19919,85|3|71|84|4|185|187|52|19|75
14116,9|24|32|7|26|51|4|50|98|22
14888,34|18|145|55|16|191|25|211|40|268
6010,11|46|80|23|39|123|114|29|7|77
866,5|33|13|2|72|69|59|15|55|16
462,20|9|25|51|41|7|67|1|45|62
15406,1|2|17|21|14|15|7|5|0|137
20836,2|6|15|87|1|128|5|33|161|4
12590,80|11|23|123|29|107|18|46|16|39
9284,4|71|13|7|65|1|84|213|52|77
7515,1|5|2|0|7|4|72|33|13|59
1870,92|9|11|20|29|45|102|63|35|51
3800,11|1|9|30|29|42|23|21|97|94
8609,16|43|13|55|25|81|72|108|57|80
27803,46|11|114|23|67|70|62|29|224|138
13943,20|25|89|3|214|135|2|67|239|127
11528,9|45|50|42|131|24|133|282|140|139
25656,91|14|105|2|228|78|171|152|103|137
1586,22|1|31|71|4|0|85|121|185|230
1347,3|44|19|8|49|2|89|165|36|62
6851,2|1|17|14|5|15|33|21|76|59
12952,1|2|0|7|30|21|17|31|4|5
16093,52|20|13|84|25|67|62|70|43|65
11995,0|1|126|21|61|12|115|147|14|100
706,1|21|2|5|19|14|47|95|61|30
18129,37|34|80|46|25|123|168|118|57|145
8817,1|14|2|5|21|61|8|19|44|35
884,18|12|31|0|160|34|37|134|71|148
8808,20|25|135|2|214|15|3|6|102|163
19141,4|7|1|89|24|32|0|99|26|22
27771,80|11|123|23|29|107|108|16|212|92
23038,110|49|8|38|48|36|79|179|14|190
3399,1|2|7|0|4|6|14|10|54|32
27237,34|37|18|73|28|225|12|253|31|109
10754,3|2|49|110|179|14|46|8|85|151
14601,1|2|7|9|64|42|45|17|77|156
20125,16|40|0|12|11|66|23|29|39|234
4418,3|44|35|8|67|20|62|88|25|49
6782,5|11|0|23|1|21|29|12|39|16
212,71|65|31|59|1|52|69|85|103|11
11281,22|1|4|0|7|98|125|147|24|30
23058,87|128|46|13|25|122|84|41|72|222
26646,63|8|42|14|44|180|2|38|15|36
1137,13|4|65|7|77|52|11|158|17|29
20137,8|14|38|36|48|79|44|2|49|194
20085,4|7|24|77|13|22|50|57|1|26
837,10|0|54|4|87|26|72|13|128|129
7714,9|45|64|42|63|50|133|7|24|183
6145,2|1|5|33|17|59|76|21|95|69
26123,35|8|36|104|48|38|79|88|44|96
20032,16|40|0|18|12|55|81|66|159|53
447,2|1|5|33|17|59|15|76|14|21
11013,17|5|76|45|33|157|63|64|156|217
14010,89|3|214|165|239|127|67|20|163|102
321,102|2|20|9|51|14|89|151|112|3
3797,4|1|7|2|19|22|52|13|31|84
3699,1|2|8|44|112|14|4|100|36|24
12321,1|2|14|0|8|36|48|38|115|21
23769,20|89|41|68|135|25|3|122|76|214
6132,65|70|84|62|46|52|67|71|138|117
19603,9|51|24|147|174|50|21|221|101|39
23691,118|34|55|37|109|191|15|145|33|65
2479,1|21|174|5|30|7|13|4|50|147
8627,37|15|34|80|168|16|55|123|109|94
25004,9|50|24|51|45|131|99|140|30|139
7062,2|1|17|14|21|3|5|76|7|151
12371,1|2|14|21|0|61|30|19|100|115
2285,7|4|77|22|64|24|71|209|9|121
21345,33|2|5|65|69|91|59|17|71|143
9733,24|9|50|45|63|99|42|7|131|133
482,1|9|2|14|136|21|149|78|137|141
4271,1|7|2|4|22|64|3|17|9|24
27459,45|43|20|198|218|108|88|92|42|142
2536,5|13|2|19|52|33|84|88|17|35
1743,11|13|29|43|92|5|23|9|52|111
8111,6|26|87|4|75|161|2|54|10|128
23035,34|37|25|184|8|243|36|211|175|18
13600,9|50|1|45|24|63|42|56|7|131
11350,2|19|14|5|47|33|21|1|61|106
3020,5|17|69|2|31|1|59|33|52|60
24300,11|91|23|105|29|228|143|80|46|78
9524,40|8|44|16|36|63|38|48|42|56
16304,25|20|89|67|214|127|12|62|70|239
5418,35|19|47|111|5|92|197|41|11|104
12464,9|24|101|50|7|22|237|77|140|133
9282,92|20|13|111|5|43|35|41|88|197
8046,1|0|5|60|2|59|31|69|33|12
27585,2|5|14|21|1|17|33|47|63|167
14294,5|13|33|72|52|43|2|84|69|111
7601,37|46|34|113|124|109|71|134|6|286
6346,98|22|26|10|4|32|6|0|154|24
3762,11|29|23|43|13|107|92|111|5|52
6323,1|7|2|17|4|9|30|5|45|31
5957,44|8|84|38|36|48|117|13|241|65
3557,13|4|7|52|5|77|43|72|1|57
9565,147|1|14|98|4|221|21|61|174|22
16879,49|8|64|44|2|38|48|190|36|14
20061,26|9|7|24|6|13|4|50|45|32
17959,20|17|89|76|68|41|25|3|5|67
14147,12|66|73|40|18|25|28|144|80|51
1286,13|5|7|43|1|72|42|93|52|60
16129,1|2|7|6|4|64|161|24|31|9
18983,4|1|7|22|71|2|13|77|98|85
7513,6|13|26|7|2|87|4|1|128|54
5891,2|17|20|15|76|6|5|41|1|7
20785,8|38|48|36|49|79|44|194|264|190
16281,22|12|24|4|51|0|66|98|140|7
15436,21|5|11|29|95|23|193|47|1|111
12221,71|31|4|65|13|44|52|84|208|69
861,143|91|97|105|78|124|136|37|14|228
13373,12|0|18|28|40|66|73|144|242|16
5501,62|70|25|116|67|18|138|188|55|12
858,44|8|16|36|35|38|48|5|81|79
418,1|7|4|20|32|26|99|9|0|54
9665,2|5|33|17|1|59|76|15|13|72
6730,102|49|8|35|38|150|151|36|44|186
731,1|30|95|11|52|21|29|5|23|39
13569,9|45|50|24|131|139|64|42|140|63
20539,2|5|33|17|76|15|41|68|59|1
3775,26|54|122|14|51|96|6|10|129|25
659,2|8|14|38|1|49|36|48|44|79
1916,25|20|13|122|16|55|41|72|128|43
1223,2|39|1|11|152|46|23|137|86|141
2279,9|50|45|24|42|63|7|139|93|131
27202,0|16|10|40|96|126|54|12|18|26
20883,64|2|45|17|183|65|31|156|209|161
12553,1|30|9|0|21|56|50|100|99|112
8272,37|64|46|183|34|62|70|114|67|2
2265,25|20|67|62|227|116|172|138|70|127
9949,31|69|65|5|60|33|42|59|1|52
24210,19|103|223|96|85|106|126|263|171|185
7569,39|9|22|114|86|51|70|62|67|12
19278,13|42|43|52|65|57|202|88|35|218
5361,31|1|60|5|157|64|69|17|65|7
17228,9|45|63|50|131|42|24|139|93|56
16937,4|7|1|31|24|13|22|77|0|52
1245,1|7|37|0|18|34|124|192|225|97
16583,13|42|43|65|52|57|158|218|142|176
3731,12|0|18|66|40|28|73|16|25|145
12278,31|1|7|56|64|60|30|139|209|65
22273,78|105|97|137|136|91|94|124|153|143
22487,63|45|180|9|42|201|8|64|149|290
5751,2|5|76|17|20|41|68|47|33|19
3386,1|2|15|31|7|37|18|72|34|71
11679,34|15|37|109|25|145|211|191|275|168
14934,0|12|18|16|40|15|1|66|82|4
2842,2|15|14|78|137|136|91|97|124|153
1139,1|37|2|124|113|143|15|91|97|134
17991,24|7|13|42|4|50|56|43|26|63
27547,10|26|54|4|6|129|32|154|87|246
22844,1|31|59|2|69|230|0|7|60|117
22536,1|2|5|17|33|21|59|7|95|0
16443,12|0|61|126|115|21|100|19|96|8
946,5|33|111|13|171|11|52|29|103|23
27241,2|1|31|17|117|59|64|3|230|65
4449,39|51|86|22|98|46|0|12|114|23
1149,2|15|82|117|59|161|1|33|3|109
17159,14|2|13|5|15|1|9|42|7|78
21934,85|185|187|3|71|19|11|23|223|103
14784,9|24|50|45|1|101|63|14|7|49
2624,2|21|9|1|14|102|17|151|150|149
15223,7|4|0|31|6|1|26|160|24|12
12122,13|20|15|25|7|34|109|43|41|42
22734,20|25|135|41|172|163|206|127|68|67
13680,5|13|35|33|88|19|43|104|197|111
788,13|71|4|57|72|213|84|52|103|65
17738,31|65|1|7|59|69|158|17|117|118
22930,35|8|104|36|38|48|88|79|96|44
5774,4|12|0|98|18|39|71|46|66|25
6337,2|1|17|14|5|15|33|21|76|59
16004,20|89|214|112|100|239|30|199|135|102
28034,6|13|26|57|24|42|77|7|133|4
6297,2|3|1|17|19|89|254|68|76|21
15833,1|7|2|4|26|6|13|54|14|10
661,11|23|29|80|107|123|53|40|108|39
14889,1|2|21|14|30|0|61|17|5|95
1290,25|4|2|20|15|1|7|13|0|5
18573,19|8|96|14|106|16|36|35|48|103
11392,1|31|30|60|56|139|93|69|9|17
1425,15|12|8|36|18|179|110|34|48|66
27872,8|38|48|36|44|79|6|57|14|241
5242,2|13|4|17|6|1|7|14|5|77
6774,14|2|1|15|8|21|49|61|44|36
4269,6|26|57|24|8|44|38|277|13|15
15851,4|7|1|22|10|26|6|0|13|77
13945,1|7|9|4|50|24|22|30|45|56
12836,3|70|62|235|85|67|188|185|230|116
17472,42|40|63|9|133|120|80|50|43|182
2409,20|63|35|45|13|42|43|44|8|64
1911,15|5|149|78|63|136|14|92|97|111
14744,4|89|20|25|67|52|84|3|127|70
3369,2|41|21|14|47|17|76|68|20|3
21228,9|1|7|50|24|45|4|63|56|42
11830,1|7|4|2|31|77|22|65|17|13
12768,1|2|0|15|21|14|30|18|12|7
10688,1|2|31|65|59|7|17|5|69|33
5092,31|18|16|40|44|53|69|55|12|1
4799,1|2|14|15|21|137|136|91|153|0
20208,0|12|18|40|28|31|66|73|60|144
21852,11|23|39|29|86|51|107|146|147|221
14626,1|0|30|21|95|12|146|2|189|7
7522,13|43|52|42|72|108|202|255|142|84
9239,2|1|17|14|5|15|33|21|76|59
3978,6|26|51|113|25|98|24|20|27|122
28168,25|20|67|172|135|62|227|116|163|127
8222,13|43|5|42|20|63|72|45|24|7
368,11|23|29|46|3|67|68|62|70|41
459,15|44|8|6|25|14|57|38|49|36
19541,8|6|38|44|36|48|79|20|24|35
137,16|5|55|33|15|11|81|44|46|80
14687,11|67|23|51|29|89|3|70|62|150
3444,20|25|12|66|41|30|40|0|28|210
9878,16|18|55|40|81|82|25|53|12|159
26116,11|23|29|107|51|39|92|174|86|9
15208,9|63|42|45|50|11|24|92|218|133
21,24|9|20|40|25|99|50|45|131|63
14310,13|57|84|6|4|196|24|231|71|88
548,1|2|4|5|7|0|17|33|59|95
10410,6|26|87|7|54|4|10|1|128|2
28577,17|64|1|2|45|76|20|31|9|139
677,19|44|16|96|3|12|2|8|106|25
9711,10|26|6|54|87|4|129|154|128|246
13685,1|2|0|4|7|32|54|21|14|10
9166,2|3|46|164|17|114|11|150|137|205
13800,5|0|16|12|11|53|29|23|95|21
27372,11|29|23|92|107|111|105|35|47|203
17123,43|0|7|13|40|12|42|60|16|28
7777,1|7|5|2|9|30|17|21|42|63
6427,15|6|57|13|37|65|34|71|44|64
10544,2|1|5|15|33|55|0|59|17|18
17611,26|24|9|6|7|50|32|45|99|237
141,14|49|2|61|21|8|44|47|19|11
2770,1|2|5|59|31|69|33|17|19|60
7106,2|1|17|5|59|33|31|69|76|230
8157,5|20|1|55|60|2|16|15|33|157
2978,3|2|70|62|17|67|161|116|138|65
10222,9|26|7|6|45|24|20|13|50|63
21219,64|45|57|156|196|42|183|158|218|65
4233,4|1|2|7|0|13|5|59|3|17
13289,5|13|43|33|42|1|72|63|7|55
2581,15|2|14|6|87|8|128|113|37|109
17049,8|36|48|38|79|44|14|49|194|96
13336,2|1|14|64|9|45|17|63|42|143
3549,70|3|62|67|116|138|188|235|64|31
9831,43|24|35|42|108|88|63|13|104|50
11081,52|11|29|23|13|69|65|107|53|43
3272,44|25|16|20|35|40|81|108|104|8
20724,82|18|34|173|160|12|37|25|66|222
24243,8|19|14|36|48|38|2|96|106|44
10850,0|12|18|40|66|1|16|30|28|21
4516,31|4|71|24|22|7|208|64|77|209
6657,1|20|0|89|12|25|30|2|3|17
7455,85|19|44|71|3|185|31|187|49|8
18401,26|6|32|24|10|54|129|51|27|154
6961,9|102|20|45|17|186|150|63|21|149
11015,6|26|57|13|24|113|37|77|42|108
13291,49|11|23|85|39|219|29|19|8|96
4950,25|6|20|24|26|57|51|9|127|135
3348,31|1|2|117|65|64|59|7|69|71
17120,7|1|26|4|13|10|54|6|24|32
23312,103|171|226|5|33|72|13|52|271|19
5022,5|19|21|13|103|33|14|47|61|2
27677,43|111|5|270|92|16|35|212|108|292
11985,25|15|20|34|191|55|145|211|109|82
18586,20|92|41|25|11|29|111|68|89|23
16000,1|4|7|0|10|13|26|72|54|6
708,2|1|5|17|33|59|76|19|95|21
20731,2|1|33|5|59|17|31|15|69|94
16721,54|26|32|122|220|6|128|10|87|25
5940,42|57|77|13|65|133|158|45|71|24
4392,25|40|16|12|8|66|36|184|20|15
690,3|68|17|70|62|2|67|41|76|254
7454,85|3|185|187|19|11|23|29|219|71
18267,2|3|19|59|17|70|62|85|5|185
12096,1|7|6|26|4|32|2|54|10|98
5926,25|20|3|19|67|62|35|44|104|127
13980,11|23|29|122|92|41|107|68|46|111
3003,2|6|15|1|161|5|14|44|33|87
